question,text
What type of epistemology was adopted for a short period of time in European universities?,Cartesian
What type of epistemology served as the foundation of knowledge constructions and  training scholars in universities?,Aristotelian
"The scientific revolution contributed to what, in terms of science?",autonomy
"There was disagreement between universities and scientists over schools focusing on science, and the idea of what?",a general scholar
A hierarchy of scientific disciplines came out of what?,the scientific revolution
Where did students after the scientific revolution put science on the scale of importance?,first
"The study of humanism among those studying math, astronomy and medicine is said to have caused what?",the scientific revolution
Resisting what caused many scientists to court private benefactors?,changes in science
Where might a scientist find a friendly private benefactor?,princely courts
Which historian argues that traditionalism in a university system hindered attempts to form new views on knowledge and nature?,Richard S. Westfall
Where is Youtube headquartered? ,"San Bruno, California, United States"
When was Youtube created?,February 2005
How much did Google pay for Youtube in 2006?,US$1.65 billion
"Other than video blogging and and educational videos, what content is available on youtube?",short original videos
How does youtube now operate as a business?,as one of Google's subsidiaries
What are the first names of the men that invented youtube?,Hurley and Chen
Where did Chen live in 2005?,San Francisco
What was the original stimuli for creating the website?,difficulty sharing videos
When did the creators have the idea for youtube?,the early months of 2005
when was the first beta test for the youtube site?,May 2005
What was the first video to reach a million views?,a Nike advertisement
How much did Sequoia Capital invest in youtube in November of 2005?,$3.5 million
What was the official launch date for the youtube website?,"December 15, 2005"
As of May 2010 how many total video views had youtube attained?,14 billion
"As of 2014, how many hours of video were being uploaded every  minute?",300
How much content on youtube comes from outside the US?,around three quarters
How many unique visitors a month were tracked as of 2014?,800 million
"As of June 2015, how many estimated visitors does youtube have in a month?",15 billion
Youtube is ranked what on the world's list of most visited sites?,third
What did youtube do on March 31 2010? ,launched a new design
Who was the Google product manager in 2010?,Shiva Rajaraman
How many videos was youtube serving per day as of May 2010?,more than two billion
How many views per day was youtube receiving as of May 2011?,more than three billion
How many videos per day were streamed as of January 2012?,four billion
What did youtube announce in Feb of 2015?,a new app
what was the name of the new app youtube launched?,YouTube Kids
What platform was launched in Aug of 2015?,YouTube Gaming
What is the name of the youtube feature that removes ads and allows downloading movies?,YouTube Red
On what OS was the YouTube Kids app available?,both Android and iOS
In 2010 youtube launched a version of its site that ran on what standard?,HTML5
What was the main benefit from the switch to HTML5?,allowed videos to be viewed without requiring Adobe Flash Player
How did users opt into the trial version of youtube's HTML5 site?,a page
What format besides H.264 was playable with HTML5?,WebM
What is the maximum length of a video on youtube?,12 hours
"When a user with a new account posts a video, what is the maximum length allowed?",15 minutes
When was the time limit on video length first enacted on youtube?,March 2006
in 2006 Youtube found that the majority of longer videos were what?,unauthorized uploads
What is the upload file size limit on out of date browsers?,20 GB
When was 720p HD support added to youtube?,In November 2008
What did youtube change its screen format to from 4:3?,widescreen 16:9
What video format support was added in 2009?,1080p HD
What is the highest resolution of video supported by youtube?,8K resolution
What is the name of the format that has dimensions of 4096×3072 pixels?,4K
Peter Bradshaw held what position in youtube?,software engineer
What type of videos did youtube officially start supporting in July 2009?,3D
"What is the name for the common method of viewing a 3d movie, with red and blue glasses?",anaglyph
When did HTML5 officially support side-by-side 3D footage?,In May 2011
Youtube offers users the option to watch content where?,outside their website
What is used to embed a youtube video to a webpage?,HTML
What is the most common use of embedded youtube videos?,social networking pages and blogs
What is a video called when a person records themselves watching a different video?,"""video response"""
When did youtube officially remove the response feature?,"On August 27, 2013"
YOutube does not often post a what for its videos?,download link
Youtube intends for users to watch videos where?,through its website
What was added to the upload options in July of 2012?,a Creative Commons license
Which site removed the option of downloading youtube videos after 2012?,Zamzar
Which videos are often available for download straight from youtube?,the weekly addresses by President Barack Obama
When did youtube become available on Apple products?,June 2007
When did youtube launch its first app for the iPhone?,September 2012
What percentage of Smartphone users use the youtube app?,35%
What is Apple's prefered video standard?,H.264
How long did it take to transfer Youtube's content to Apple's standard?,several months
What service was able to search and play youtube videos as of 2008?,TiVo
What did youtube launch in Jan of 2009?,YouTube for TV
later in 2009 what service replaced youtube for TV,YouTube XL
Google made youtube streamable on what gaming console in DEC. of 2013?,the Roku player
When did youtube finally become available on the Playstation 4?,October 2014
What is youtube red?,YouTube's premium subscription service
When was youtube red originally announced?,"November 12, 2014"
What was the original title of youtube red?,Music Key
When was youtube red re-launched with its added features?,"October 28, 2015"
"What service was ""music key"" intended to replace?","Google Play Music ""All Access"""
"Other than private individuals, who has used youtube to grow their audience?",large production companies
What is the name of youtube's revenue-sharing program?,Partner Program
What was the highest earning youtube partner video producer?,$12 million
Big pop artists account for how what percentage of the views on youtube?,90.3%
Which music chart said in 2013 it would start taking youtube data into account for its ratings?,Billboard
Who is the TED curator?,Chris Anderson
What surprising feature does youtube possibly have the chance to revolutionize? ,face-to-face communication
Who is the founder of the Khan Academy?,Salman Khan
What other surprising aspect of human development will youtube likely have an impact on?,education
An activist in the Arab spring said they were using Facebook to what?,schedule the protests
An activist in the Arab spring said they were using Twitter to do what?,coordinate
An activist in the Arab spring said they were using youtube to do what?,tell the world
Who was the co-sponsor of the condemnation by the US Senate over the kony 2012 video?,Senator Lindsey Graham
What year was the first youtube question asked to a presidential nominee?,2007
How has youtube helped the government?,to more easily engage with citizens
the white house's youtube channel was the what number ranked news channel on youtube in 2012?,seventh
What was deemed necessary by the white house when creating youtube content?,creators' new media savvy
In 2013 who did the healthcare exchange commission to impersonate Obama and post it to youtube?,Iman Crosson
What was the purpose of Iman Crosson's video?,encourage young Americans to enroll
What is the name of the group that drew responses from the resident and most of his staff regarding anti-bullying?,It Gets Better Project
How old was Amanda Todd when she took her own life because of bullying?,fifteen
How ling did it take the It Gets Better Project video to draw such a huge response?,within two months
What was done after Amanda Todd's death?,legislative action was undertaken
What was the goal of the actions taken after Amanda Todd's death?,form a national anti-bullying strategy
How much time does the average person spend watching youtube videos each day?,15 minutes
What is the average time an American watches TV in day?,four or five hours
What was youtube's estimated ads revenue in 2013?,3.7 billion
What was youtube's revenue as estimated in 2008?,$200 million
Youtube's financial records are not reported by who?,Google
When did youtube enter a partnership with NBC?,June 2006
What is the name of the section in youtube that allows major content publishers to post full length movies and episodes?,Shows
"What was the intended purpose of youtube's ""shows"" section?",to create competition
"When did youtube launch the version of ""shows"" for the UK?",In November 2009
In 2010 how many movies did youtube's rental service offer?,"over 6,000 films"
What was youtube's 2007 partner program based on?,AdSense
"What percentage of revenue does youtube get for ads on ""partner program"" channels?",45 percent
How many people are employed by the partner program?,over a million
As per estimate in 2013 how much would a partner program member earn with ad revenue off of pre-roll advertising per 1000 views?,$2.09
How much ad revenue goes to the original uploader of the youtube video if they're in the partner program?,55 percent
Where does the majority of youtube's revenue go?,to the copyright holders
In 2010 what were the estimates for the amount of videos with advertisements uploaded without the copywriter's consent?,nearly a third
Which major gaming company claimed copyright ad revenue rights against uploaders?,Nintendo
When did Nintendo finally agree to share ad profits with the original uploaders?,February 2015
What option besides removing the video does youtube grant copyright holders?,have them continue running for revenue
What does the message when uploading a video ask the user not to do?,violate copyright laws
Posting a video without consent of the copyright holder is what according to youtube?,unauthorized
How many copyright infringements must an account have before the account is deleted?,Three
Youtube doesn't do what to videos before they're posted?,view
What kind of notice must a copyright holder issue when trying to take down content?,DMCA
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion
Companies including Viacom and Mediaset have done what against youtube?,filed lawsuits
What does youtube do to prevent losing lawsuits involving copyright infringement?,goes far beyond its legal obligations
How many unauthorized clips did Viacom allegedly find on youtube that infringed its copyrights?,"150,000"
How much data did youtube have to hand over to Viacom as a result of the lawsuit?,12 terabytes
Which organization spoke against the courts ruling?,Electronic Frontier Foundation
What did Viacom plan to do after the ruling in 2010?,appeal
What happened to Viacom's lawsuit in 2010?,rejected in a summary judgment
Who was the residing judge of the lawsuit?,Louis L. Stanton
In 2007 youtube launched an automated system to detect what?,videos that infringe copyright
Who was Google's CEO in 2007?,Eric Schmidt
What is the name of the system that automatically detects copyright violations?,Content ID
Why did the CEO of Google think the new software was necessary? ,resolving lawsuits
What does Content ID do if an upload is too close a match to a known copyright material?,flags the video
What was the ultimate view of Content ID's performance after a 2009 test?,surprisingly resilient
As of 2010 what is the maximum length of a video a user can upload given the proper authority?,unlimited
How does one dispute the ruling of Content ID?,fill in a form
What happened to the sites rules in Dec. 2010?,were modified
Youtube depends on who to flag inappropriate videos?,users
Who checks the flagged videos for unauthorized content?,a YouTube employee
Who of the house of commons spoke out on youtube's policies?,the Culture and Media Committee
The United Kingdom stated it was what with youtube's policies with moderating its content?,unimpressed
When did the UK speak out against youtube's copyright policies?,In July 2008
Most videos enable users to do what,leave comments
What has attracted negative attention about comments on youtube besides their content?,their form
Time in 2006 wrote that youtube harnessed the wisdom and what else of humanity?,stupidity
Which magazine wrote about youtube in a 2009 article on user comments?,The Guardian
Some of the positive aspects of youtube might be that it provides what on a scale we've never seen before?,community and collaboration
When did youtube first require the user to have a google account before posting a comment?,"November 6, 2013"
The changes to the google+ additions allowed uploaders to better moderate and what to comments?,block
There were better sorting functions put in place in 2013 to make sure what kind of comments appeared on top?,more relevant discussions
What is youtube co-founder Karim's first name?,Jawed
How many thumbs down votes did youtube's official statement about the new commenting system get within two days?,"20,097"
youtube is completely what in some places?,blocked
Why besides limited periods of time would youtube not be allowed in a country?,long term standing ban
What might happen in a restrictive state even if you do have access to the youtube site itself?,specific videos is blocked
How many independent labels did the Merlin Network represent?,"20,000"
What was the percentage of labels youtube had signed contracts with prior to the planned launch date?,90%
What was youtube planning on doing to labels it did not reach a deal with?,block all music content
Which journalistic organization released the reports of youtube's agreement with the Merlin Network?,The Financial Times
Why did youtube want to ensure only contractees music was played?,to launch the enhanced music experience
What can be seen as of essential importance to a practiced of humanism?,human beings
What is a common tenant of humanism?,freedom and progress
 What can be credited for the changes in the definition of humanism? ,intellectual movements
These days humanism could be viewed as a form of what?,secularism
Instead of turning to a spiritual or divine source practicers of humanism turn to what?,science
What was humanism once considered the same as?,philanthropy
Who has disagreed with this connotation of the word?,Gellius
In which period did Gellius gain fame?,Italian Renaissance
Who is credited with clarifying and making the term humanitas commonplace?,Cicero
What is the characteristic that most separates humans from animals?,speech
 At the time of the French Revolution what previous focus of humanism was removed?,supernatural
Protestantism differs from Humanism in its focus is on what?,supernatural
What do current tenants humanism have their origins in?,18th-century Enlightenment
What was a name for humanism believers who emerged in the late 19th and early 20th centuries?,Religious Humanism
 In what year did the term humanism gain yet another layer of meaning?,1808
Who can be credited with assisting the word humanism with finding a home in the English language?,Friedrich Immanuel Niethammer
Who was responsible for yet another definition of the philosophy in 1856?,Georg Voigt
What nation was highly receptive to the new definition of this concept?,Italy
During which period was the philosophy of humanism next updated?,French Enlightenment
What was the criticism of Humanism made by conservatives of the time?,idolatry of humanity
Who continued to support the belief system despite its critics?,liberal reformers and radicals
"Who felt that humanism would surely be a major ""religion"" today?",Ernest Renan
What was the main difference between humanism and the religions of the time?,centred on humankind
What well known socialist adopted the usage of this term in Germany?,Karl Marx
Who did benevolent believers in humanism turn to for ideas about the philosophy?,Greek philosophers
Where did the learned believers place their focus?,linguistic and cultural disciplines
Which ancient text provides an example of the humanist way of thinking?,Gathas of Zarathustra
When was this writing penned?,"1,000 BCE – 600 BCE"
When was this writing penned?,afterlife
What well know scholar was inspired by Humanism?,Voltaire
Who was known as being a founder of humanism thought in China?,Yellow Emperor
What early adopter and developer of is associated with Confucianism?,Duke of Zhou
What early adopter and developer of is associated with Confucianism?,Book of History
Who is known for the thought that humanity is the most important thing in the world?,Wu of Zhou
When were humanism beliefs mixed with another philosophy by a Taoist thinker?,6th century BCE
What is an example of Humanism based philosophy that focused on ethics?,Silver Rule of Confucianism
Who can be credited with saying essentially humans are the gods of gods?,Ji Liang
Where could you read this information?,Zuo Zhuan
Who was one of the first Greeks to adopt a humanistic outlook?,Thales of Miletus
Where did this type of thinking next travel to?,Athens
Who first introduced the idea that matter is made of atoms?,Democritus
Who was the first person to provide education opportunities to females?,Epicurus
When did the first wave of Humanism reach Europe?,Middle Ages and the Early Modern period
Who was thought to be the original believer of humanism in of the Renaissance period?,Petrarch
The study and following of classical writers was said to be a solution to what issue?,Cicero
The study and following of classical writers was said to be a solution to what issue?,age of Darkness
 What is one religious text that was thought to eventually lead to a peace between all?,the Jewish Kabbalah
Who gave followers of Humanism the ability to think out of bounds?,Renaissance Church authorities
Who gave followers of Humanism the ability to think out of bounds?,era of universal agreement
What cities may have influenced the beliefs of Gemistus Pleto?,"Florence, Venice, and Rome"
How were humanist able to identify the development of humanist thought?,Latin literary texts
What was included in this quest for knowledge of the belief system?,Patristic literature
If your were unsure of the authenticity of an ancient text how could you verify it?,philology
What caused a large migration of Greek refuges in the 1450s?,Byzantine Empire
What caused a large migration of Greek refuges in the 1450s?,Greek manuscripts
When are these texts first able to reach a large amount of people?,1517
When are these texts first able to reach a large amount of people?,Erasmus
 Erasmus can be said to have lit the match that sparked a radical change in thinking in his era along with who?,Lefèvre d'Étaples
What text still remained without the type of thorough review that others texts had received by the 18th century?,the Bible
 What author had a great impact in Rome?,P. Terentius Afer
Who was able to spread the idea of equality among all through his words?,Terence
From where did this school of thought emerge?,the Greeks
Who again issued the same type of challenge centuries later,Seneca
What was the name of the main belief Terence offered,universalism
Who felt that looking to these ancient documents for new ideas was not the way to mover forward?,A. C. Crombie
 Closer examination of what information allowed for further progress in scientific knowledge?,technical writings
What group was neutral about this issue as they felt the subject unimportant? ,Renaissance humanists
 When did even the scholars and professors began to at least end to examine the works of Aristotle?,"16th century,"
Who felt that the further examination and knowledge of studies in the arena of humanism could further art?,Leonardo da Vinci
Who helped to further the movement away from Scholasticism of the time?,Juan Luis Vives
Where did this initiate?,universities
What type of philosophy was essential to this forwarding of thought?,Aristotelian
Who was able to reconcile their religious beliefs with those of humanism?,Early humanists
What phrase that has come to be associated with a lack of faith was not seen as an issue for Christians?,secular
During what time period did secular have a more neutral connotation?,Renaissance
Petrarch felt that although he tried to do his own form of good whose life may have more meaning?,Gherardo
What abolitionist was greatly affected by the writings of Comte?,Harriet Martineau
What type of idea did he pose which was focused on facets of humanism?,atheistic
What main idea did the English believers of Comte's philosophy take from his writings?,religion of humanity
What currently used word was based in ideas from this philosopher?,altruism
What 19th century author associated his works with humanism?,F.C.S. Schiller
When was the first public group for Humanist founded?,1929
Who created this group?,Charles Francis Potter
When did Charles Potter and Clara Potter publish their first writings on Humanism?,1930
Who wotked with Carl Rogers on humanistic phycology?,Abraham Maslow
What is human phycology?,psychological perspective
In what century did humanistic phycology rise in prominence?,20th century
They introduced it in response to what?,psychoanalysis
What groups thoughts did he seek to include?,Western Unitarian Conference
Who became responsible in part for the editing of The New Humanist?,"Raymond B. Bragg,"
How many cornerstones of this new way of thinking or religion were presented>,15
What was the name of the material that was produced from this groups and the opinions of others?,Humanist Manifesto
What was the main action of humanism during the Renaissance>,cultural and educational reform
When did a new term for those who followed Humanism emerge?,late fifteenth century
Where was one main concentration of Humanism?,Naples
What was the new term for believers of Humanism philosophy?,umanisti
What was it about the utilitatian beliefs that humanism believers did not like?,narrow pedantry
What group that had been to this point neglected was included in this thought?,women
What foundation of study allowed for the accomplishment of the goal of a scholarly people?,humanities
Was the humanism of the time limited to scholars?,pervasive cultural mode
What is contemporary humanism optimistic about?,capacity of people
What is the main goal of humanism optimistic?,human flourishing
What is human flourishing?,making life better
What doesnt conetemporary humanism  believe about human nature?,purely good
What was included in religious humanism that was similiar to other religion?,religious rituals
When did practicers of religious humanism form under the name Humanism?,19th and early 20th centuries
Who founded a religion whose cornerstone was deism?,Jacques Hébert
During what time was a religious state replaced in the Notre Dame cathedral with a symbol of Humanism?,1793
Who was one early naysayer of Humanism?,Ezra Pound
What was the main reason they disagreed with the beliefs?,sentimental
Who stated Humanism creates of people placeholder?,Timothy Laurie
Who stated that this argument was in fact support of Humanism?,Kate Soper
In what year was the book humanism published?,1997
In what century was the horrific wars?,20th century
What is the only alternative to bigotry and persecution on many occasions?,humanism
Who wrote the book humanism?,Tony Davies
Who quoted the line of Terence most notably?,Seneca
What allowed for a deeper understanding and personal exploration of older philosophers theories?,ancient manuscripts
Who was the most influential supporter of the ideals of Terence?,Saint Augustine
Who were the Humanists in agreement with about using these manuscripts in their quests for pure Christian living?,Church fathers
What writing was considered a bridge between two other major writings?,The Age of Reason
Which century was the first writing from?,18th-century
Who states imply that humans are their own Gods?,Feuerbach
What was the origin of the second writing?,German
The initial state of earth was what?,molten
What formed on the outside of the earth after it cooled?,a solid crust
How does the mass of the moon compare to earth?,about 10% of the Earth's mass
What created a primordial atmosphere on earth?,Outgassing and volcanic activity
Ice from what source helped to create earths oceans?,comets
Powerful volcanism contributed to cause early earth to be in what state?,molten
What occurred in the atmosphere of the earth after the crust was formed?,water began accumulating
What size of object may have created the moon?,Mars
When water was creating the oceans what was happening to atmospheric water vapor?,Condensing
During what time period was the Archean era?,"4,000 to 2,500 million years ago"
During what period did the earths crust cooling allow the creation of plates?,Archean
It is believed that a very warm earth would lead to more recycling of what?,crustal material
What might have a very hot earth stopped from occurring?,cratonisation and continent formation
What do some believe accounts for the small amount of Archean rocks?,erosion and subsequent tectonic events
"What are Archean rocks composed of, in general?",metamorphized deep-water sediments
What type of formation is indicated by low and high grade metamorphic rocks?,Greenstone
From where did high grade Archean rocks originate?,volcanic island arcs
"Low grade metamorphic rocks are composed of what, generally?",deep-sea sediments
What is a greenstone belt?,sutured protocontinents
During what time period did the Proterozoic era occur?,"2,500 to 541 million years ago"
What era came before the Proterozoic era?,Archean
In what type of sea did typical Proterozoic geology come to be?,shallow epicontinental seas
What type of continental behavior was unique to the Proterozoic?,rapid continental accretion
What is the name for the large super continent that broke apart 750 million years ago?,Rodinia
During what period was the Paleozoic era?,541 to 252 million years ago
How many periods of geology are within the Paleozoic era?,six
The Permian is an example of what?,geologic periods
After what continental event did the Paleozoic begin?,breakup of a supercontinent called Pannotia
What continent was formed at the end of the Paleozoic?,Pangaea
At what rough time did the Cambrian era start?,541.0 ± 1.0 Ma.
What were the continents of the Cambrian area believed to have formerly been a part of?,Pannotia
What continent moved to the southern-most part of the earth in the Cambrian era?,Gondwana
What continent ranged over the majority of the southern hemisphere of earth in the Cambrian?,Panthalassa
"Baltica and Sibera are examples of what thing, during the Cambrian era?",independent continents
How long ago did the Ordovician period begin?,485.4 ± 1.9 Ma.
Which event precipitated the Ordovician period?,the Cambrian-Ordovician extinction
What was the name of the large southernmost continent during the Ordovician?,Gondwana
Which ocean decreased in size with the movement of Baltica in the Ordovician?,Iapetus Ocean
What continent fractured off Gondwana in the direction of Laurentia?,Avalonia
What type of climate was normal in the Ordovician period?,stable greenhouse conditions
What ice age signaled the end of the normal climate in the Ordovician period?,the Hirnantian faunal stage
Oxygen from what kind of fossil were used to date the Hirnantian faunal stage?,brachiopods
How many years is the Hirnantian faunal stage believed to have lasted?,0.5 to 1.5 million years
What started to develop on Gondwana as it moved over the south pole?,ice caps
When was the Silurian period believed to have begun?,443.8 ± 1.5 Ma.
"Compared to the Ordovician glaciation, how big were the ice caps on Gondwana during the Silurian?",less extensive
What did the melting of ice on Gondwana add to?,a rise in sea levels
Which supercontinent formed during the Silurian?,Euramerica
Which ocean ranged the majority of the northern hemisphere in the Silurian period?,Panthalassa
During what time period was the Devonian era?,419 to 359 Ma.
Which continent was formed from the meeting of Laurentia and Baltica?,Euramerica (or Laurussia)
Which sedimentary beds were created in the dry areas of Euramerica in the Devonian period?,Old Red Sandstone
What was the largest ocean referred to that existed in the Devonian period?,Panthalassa
Which mountains associated with the USA were formed near the equator on  Pangaea during the Devonian?,the northern Appalachian Mountains
What occurred to the level of the sea when the Devonian period was finished?,A global drop
During which period were epicontinental seas created?,Carboniferous
What was on the land at 30 degrees latitude north in the carboniferous period?,lush coal swamps
What was the result in the decline in sea level in the middle of the Carboniferous period?,a major marine extinction
The Pennsylvania period is separated by the drop in Carboniferous era sea levels from what other period?,Mississippian Period
What geologic events took place when Pangea combined during the Carboniferous?,mountain building
What was the continent that came to be North America and Europe called during the Carboniferous?,Laurussia
What was the effect of Laurussia impacting Gondwana in North America?,the Alleghenian orogeny
The mountains forming to the southwest of the Appalachians in the Carboniferous are known as what?,the Ouachita Mountains
Which two large oceans existed during the Carboniferous period?,the Panthalassa and Paleo-Tethys
What supercontinent prevailed during the Permian era?,Pangaea
What was the largest ocean during the Permian called?,Panthalassa
"There was an ocean between Gondwana and Asia in the Permian, what was it?",Paleo-Tethys Ocean
The moving of which continent contributed to the decrease in size of the Paleo-Tethys?,Cimmeria
During which period was the Tehtys Ocean dominant?,the Mesozoic Era
"Which ocean name is translated to mean ""all the sea?""",Panthalassa
What process obscures information aboutt he ocean during the Triassic period from inspection?,subduction of oceanic plates
What was occurring to Pangaea in the late Triassic?,Pangaea was rifting
Which sediements in the US are an indication of the break up of Pangaea?,Newark Supergroup
What type of terrestrial animals are found from the Triassic period?,terrestrial vertebrates
During what years was the Jurassic period?,201.3 ± 0.2 to 145.0 Ma.
Which supercontinent came apart in the Jurassic period?,Pangaea
The Gulf of Mexico formed in the rift between North America and what other land mass?,Mexico's Yucatan Peninsula
At what point did the South Atlantic ocean begin to open?,Cretaceous Period
Which late Jurassic cultural sites are famous in Europe?,lagerstätten of Holzmaden and Solnhofen
The current continents were formerly known as what continent?,Pangaea
Which oregenies followed the Nevadan in the Cretaceous?,Sevier and Laramide
South America was formerly which continent?,Gondwana
The rifting in the Cretaceous had what result on the oceans?,raising eustatic sea levels
Antarctica was a part of what supercontinent?,Gondwana
During the height of the Cretaceous transgression how much of the earths land mass was under water?,one-third
What type of rock was the Cretaceous notable for forming the most amount of?,Phanerozoic
The Cretaceous is a part of which geologic era?,Phanerozoic
Where can one find the Smoky Hill Chalk Member?,North America
Where are the Deccan Traps?,India
How many years long was the Cenozoic Era?,66 million years
Which extinction marked the beginning of the Cenozoic Era?,Cretaceous–Paleogene extinction event
What geologic period are we in currently?,Cenozoic Era
At the end of which era had the continents taken roughly their current shape?,Mesozoic
